nitrogen,phosphorus,potassium,ph,moisture,soil_temperature,ec,rainfall,air_temperature,air_humidity,season,season_code,soil_type,soil_type_code,crop
32.58,62.43,39.87,6.8,34.1,28.6,320,676.5,35.4,63.1,kharif,0,alluvial,2,urad
106.96,92.66,121.55,6.57,48.1,26.4,302,329.1,24.2,49.4,rabi,1,red,1,tomato
78.28,44.0,50.66,6.99,30.9,27.2,444,415.4,17.9,44.2,rabi,1,red,1,jowar_rabi
96.96,57.95,59.84,6.87,35.8,13.3,282,331.9,12.0,37.7,rabi,1,alluvial,2,mustard
27.17,67.17,41.13,6.51,38.2,23.8,151,350.9,21.8,54.0,rabi,1,red,1,moong_rabi
75.0,55.6,45.8,6.82,41.3,24.9,409,502.9,14.7,38.4,rabi,1,black_cotton,0,safflower
32.82,65.8,64.34,7.08,55.4,30.6,332,619.2,25.0,54.7,kharif,0,sandy,4,groundnut
24.1,66.3,56.1,7.13,40.2,31.8,101,568.6,33.6,48.1,kharif,0,black_cotton,0,urad
24.48,51.3,51.64,6.86,45.4,26.1,345,544.6,37.0,51.8,kharif,0,red,1,moong_kharif
86.7,55.0,66.2,6.19,47.2,14.3,382,450.4,13.6,43.2,rabi,1,alluvial,2,mustard
240.69,76.82,119.86,6.08,79.4,29.6,699,1285.2,24.3,66.9,rabi,1,black_cotton,0,sugarcane
33.37,72.19,42.53,6.55,46.8,24.7,398,678.2,25.0,72.6,kharif,0,black_cotton,0,soybean
138.54,43.36,72.91,6.35,86.7,27.2,485,1457.2,22.0,73.0,kharif,0,laterite,3,rice
130.13,73.6,89.1,6.8,60.0,28.2,822,687.4,37.9,72.0,kharif,0,black_cotton,0,cotton
79.75,83.21,79.75,7.07,36.4,26.1,412,612.5,30.8,58.8,kharif,0,red,1,sunflower_kharif
22.8,42.4,48.2,6.69,49.2,35.3,115,585.6,34.3,70.4,kharif,0,alluvial,2,moong_kharif
134.74,52.92,137.98,5.32,59.1,23.3,478,1007.4,23.5,88.0,kharif,0,alluvial,2,turmeric
96.98,55.24,51.93,7.69,38.8,29.7,291,679.8,30.2,73.6,kharif,0,red,1,jowar_kharif
79.98,67.7,63.6,6.95,49.5,22.2,416,676.6,28.0,63.0,kharif,0,black_cotton,0,sunflower_kharif
24.6,51.07,33.67,6.9,45.0,24.7,150,367.9,18.6,46.1,rabi,1,alluvial,2,moong_rabi
122.88,71.06,81.69,7.5,61.4,18.1,582,225.0,21.4,46.0,zaid,2,red,1,onion
60.8,66.3,64.4,7.6,40.5,18.4,443,299.8,16.8,46.0,rabi,1,black_cotton,0,safflower
14.89,53.77,38.74,6.76,41.4,26.7,531,625.9,25.1,71.6,kharif,0,alluvial,2,tur_arhar
74.39,45.92,87.44,7.48,53.0,22.7,1094,243.4,35.4,43.9,zaid,2,black_cotton,0,grapes
124.99,58.1,103.13,7.38,65.2,23.2,280,480.7,22.3,74.9,kharif,0,alluvial,2,chilli
86.47,68.85,55.57,7.36,40.4,26.1,301,447.9,27.6,49.4,kharif,0,red,1,jowar_kharif
123.51,72.39,108.57,7.41,57.9,27.2,398,470.4,31.5,69.9,kharif,0,red,1,chilli
81.87,59.85,57.93,7.31,52.2,28.0,326,690.4,28.3,67.1,kharif,0,alluvial,2,jowar_kharif
37.54,82.09,66.67,6.03,46.8,31.2,304,653.6,30.4,65.6,kharif,0,red,1,soybean
87.06,56.87,61.07,6.51,42.0,29.8,483,604.8,28.3,54.0,kharif,0,black_cotton,0,jowar_kharif
34.74,78.22,53.83,7.54,35.0,17.4,535,342.0,12.1,32.0,rabi,1,alluvial,2,chickpea
110.98,69.5,154.44,6.72,46.7,23.0,320,483.5,28.6,63.9,kharif,0,alluvial,2,tomato
96.34,50.89,127.42,6.87,56.5,28.6,293,537.1,24.5,65.0,kharif,0,black_cotton,0,chilli
23.34,63.39,46.62,7.51,45.1,28.1,350,440.8,26.1,56.8,rabi,1,alluvial,2,moong_rabi
121.79,63.7,82.63,7.46,67.8,21.8,472,831.3,19.8,68.0,kharif,0,red,1,maize_kharif
20.47,74.58,46.92,7.6,34.5,22.6,227,425.4,18.1,39.8,rabi,1,black_cotton,0,chickpea
78.82,73.14,93.98,5.85,62.6,24.9,383,483.9,20.5,80.6,kharif,0,black_cotton,0,chilli
95.91,46.01,57.33,6.1,39.2,20.8,426,420.2,9.1,45.9,rabi,1,black_cotton,0,mustard
105.54,67.76,66.72,6.75,47.9,31.9,626,700.2,31.2,47.9,kharif,0,black_cotton,0,cotton
64.6,44.76,48.17,7.9,51.7,22.3,170,337.4,13.1,47.8,rabi,1,black_cotton,0,jowar_rabi
59.33,32.99,75.73,7.75,52.9,22.5,1012,299.3,30.3,55.6,rabi,1,red,1,grapes
246.65,73.7,110.51,6.8,69.3,25.5,702,1373.2,30.8,84.4,rabi,1,alluvial,2,sugarcane
84.93,73.09,106.48,7.08,44.8,28.1,341,566.3,20.6,58.0,kharif,0,black_cotton,0,chilli
87.98,54.85,66.84,7.32,45.9,22.1,240,456.8,22.9,56.5,rabi,1,red,1,jowar_rabi
75.4,65.9,52.0,6.49,46.6,17.8,190,459.2,21.0,43.4,rabi,1,alluvial,2,mustard
32.8,59.0,52.91,7.43,27.6,22.7,411,237.3,22.6,42.0,rabi,1,black_cotton,0,chickpea
58.57,57.83,58.63,6.66,53.5,24.5,545,699.6,29.4,75.7,kharif,0,red,1,soybean
115.15,71.92,58.87,6.8,50.7,20.3,298,317.2,19.5,65.8,rabi,1,black_cotton,0,wheat
36.59,59.08,59.7,7.26,36.9,25.9,479,698.5,26.4,72.8,kharif,0,alluvial,2,groundnut
70.09,61.95,50.26,7.09,46.3,31.0,280,471.6,27.7,56.6,kharif,0,alluvial,2,jowar_kharif
104.67,76.88,71.8,6.33,59.7,19.9,403,591.5,20.8,80.5,kharif,0,black_cotton,0,maize_kharif
28.7,56.27,57.11,7.15,33.2,21.5,255,397.6,17.3,52.4,rabi,1,red,1,moong_rabi
88.58,72.74,110.86,6.8,44.9,20.7,286,227.4,14.9,61.0,zaid,2,black_cotton,0,onion
76.46,56.47,48.47,6.58,21.8,35.2,378,238.7,33.9,52.5,kharif,0,red,1,bajra
142.69,67.37,72.02,6.79,62.6,28.8,554,735.7,25.1,61.6,kharif,0,black_cotton,0,maize_kharif
68.67,60.12,81.62,6.46,39.6,18.8,438,406.8,14.5,60.3,rabi,1,alluvial,2,sunflower_rabi
66.45,66.51,82.86,6.58,43.6,20.6,318,352.1,17.2,59.4,rabi,1,alluvial,2,sunflower_rabi
31.14,60.04,39.56,7.29,40.0,18.3,268,419.4,26.4,51.7,rabi,1,red,1,chickpea
92.14,56.96,41.79,6.16,58.8,19.2,300,451.2,15.2,48.0,rabi,1,alluvial,2,wheat
74.48,76.3,60.85,6.49,37.1,24.6,631,496.2,27.2,39.3,kharif,0,black_cotton,0,sunflower_kharif
25.7,59.57,86.6,7.03,48.2,30.1,371,505.8,31.3,50.3,kharif,0,sandy,4,groundnut
108.68,69.57,163.67,6.74,56.2,21.6,420,577.1,22.9,68.6,rabi,1,red,1,tomato
95.69,54.31,84.84,6.2,48.7,28.8,331,508.6,26.6,77.2,rabi,1,red,1,chilli
36.42,52.14,60.21,7.23,45.2,18.9,198,185.3,23.0,41.5,rabi,1,black_cotton,0,chickpea
29.59,54.2,39.58,6.39,25.6,18.7,240,215.3,18.6,31.2,rabi,1,black_cotton,0,chickpea
27.35,68.18,47.62,6.25,50.8,24.5,367,510.0,27.7,55.1,kharif,0,black_cotton,0,tur_arhar
94.99,73.01,40.1,6.49,58.1,14.9,291,278.7,12.9,52.8,rabi,1,black_cotton,0,wheat
30.38,52.36,47.02,6.97,36.1,16.9,222,389.0,13.1,42.5,rabi,1,red,1,chickpea
148.71,65.78,90.5,7.59,39.5,35.7,724,859.1,38.5,54.6,kharif,0,black_cotton,0,cotton
125.74,51.35,72.88,7.77,56.4,31.9,499,546.9,26.6,50.1,kharif,0,black_cotton,0,cotton
93.34,64.6,86.8,6.31,53.7,18.2,296,475.0,25.3,42.4,rabi,1,alluvial,2,onion
28.57,63.13,71.74,7.84,45.3,22.6,411,287.1,18.1,32.8,rabi,1,red,1,chickpea
21.42,45.77,43.11,6.03,43.9,35.4,283,642.9,34.8,50.2,kharif,0,black_cotton,0,urad
22.7,65.06,59.89,6.43,59.3,31.1,452,819.7,31.7,75.4,kharif,0,sandy,4,groundnut
82.87,49.75,38.4,7.61,49.4,26.1,243,425.9,24.3,55.4,rabi,1,red,1,jowar_rabi
115.56,61.19,67.04,7.83,41.8,21.1,423,433.2,29.6,52.0,rabi,1,alluvial,2,pomegranate
30.73,63.92,60.47,5.8,40.5,24.9,472,401.7,17.3,48.3,rabi,1,black_cotton,0,chickpea
33.1,45.7,49.9,7.48,31.4,31.5,447,382.5,35.9,60.4,kharif,0,black_cotton,0,urad
88.79,65.21,69.1,6.21,47.9,30.1,501,408.4,34.9,56.7,zaid,2,alluvial,2,watermelon
20.26,61.22,38.28,7.01,50.3,33.0,274,430.4,28.8,52.6,kharif,0,red,1,moong_kharif
117.83,41.24,121.83,6.58,35.4,28.9,366,321.4,20.5,49.3,kharif,0,alluvial,2,pomegranate
64.28,34.57,86.44,7.64,46.0,28.2,712,307.6,27.9,43.2,zaid,2,red,1,grapes
82.87,59.42,41.96,7.15,48.7,24.3,365,448.5,20.2,55.4,rabi,1,black_cotton,0,jowar_rabi
23.45,51.99,52.03,6.87,48.0,25.4,500,649.6,31.0,64.0,kharif,0,alluvial,2,tur_arhar
23.52,61.12,47.29,7.21,23.1,20.0,245,207.9,19.9,53.0,rabi,1,red,1,chickpea
90.0,39.49,41.32,6.22,29.3,36.0,250,292.8,37.2,35.7,kharif,0,red,1,bajra
92.05,79.63,79.43,6.86,43.8,28.3,316,560.2,22.1,68.4,kharif,0,alluvial,2,sunflower_kharif
94.29,58.45,74.1,6.49,49.6,13.4,354,409.4,15.4,40.8,rabi,1,alluvial,2,sunflower_rabi
41.81,85.43,43.3,6.46,48.4,30.5,383,773.0,31.3,70.3,kharif,0,red,1,soybean
75.65,56.57,43.66,7.14,37.5,26.6,392,498.8,39.6,31.0,kharif,0,laterite,3,bajra
90.63,57.58,103.88,6.44,61.8,26.5,260,561.6,31.1,78.9,kharif,0,black_cotton,0,chilli
124.47,74.53,147.26,6.45,54.1,20.7,227,544.6,23.8,71.3,rabi,1,alluvial,2,tomato
134.54,65.62,124.52,6.69,59.1,26.2,200,781.7,29.4,73.4,kharif,0,laterite,3,turmeric
178.21,46.88,333.39,6.93,64.8,27.5,332,969.2,27.1,87.1,zaid,2,black_cotton,0,banana
27.77,57.01,33.93,5.9,47.9,27.9,276,278.3,24.7,41.6,rabi,1,red,1,moong_rabi
93.15,58.41,101.7,6.45,54.1,23.2,671,360.3,24.5,40.5,zaid,2,black_cotton,0,onion
78.2,49.0,57.4,7.13,30.3,12.5,530,332.2,20.7,33.1,rabi,1,alluvial,2,mustard
154.85,60.21,98.01,6.86,60.1,36.5,710,627.0,36.9,58.5,kharif,0,black_cotton,0,cotton
25.02,35.98,53.48,7.26,50.0,29.9,173,680.1,39.3,51.1,kharif,0,black_cotton,0,urad
96.73,45.49,91.43,6.65,66.3,23.9,289,671.9,27.1,66.1,rabi,1,red,1,orange
27.36,57.12,54.46,7.12,34.7,16.6,404,296.1,20.3,54.7,rabi,1,alluvial,2,chickpea
21.18,40.19,49.76,7.34,47.2,27.2,316,484.1,37.6,59.1,kharif,0,alluvial,2,moong_kharif
90.98,61.92,95.52,6.62,61.7,17.6,523,388.0,22.0,51.2,zaid,2,black_cotton,0,onion
232.81,71.41,105.12,6.34,58.5,24.1,792,1448.6,22.3,72.8,kharif,0,alluvial,2,sugarcane
67.23,39.6,38.7,5.99,51.5,22.4,201,369.2,29.6,53.0,kharif,0,alluvial,2,jowar_kharif
14.95,63.13,58.39,7.3,44.5,29.1,346,526.2,28.7,60.7,kharif,0,sandy,4,groundnut
68.2,46.27,44.17,8.02,37.0,25.9,460,409.6,15.7,48.6,rabi,1,black_cotton,0,jowar_rabi
108.98,85.11,65.9,6.69,55.4,19.8,345,507.6,18.0,43.2,rabi,1,alluvial,2,rabi_maize
102.26,57.96,73.84,6.33,32.7,18.3,334,279.9,8.9,42.7,rabi,1,black_cotton,0,mustard
83.84,44.86,58.15,7.13,46.0,28.3,589,612.3,24.8,54.8,kharif,0,alluvial,2,jowar_kharif
27.35,72.35,79.35,6.14,50.6,26.4,352,734.9,23.6,65.6,kharif,0,alluvial,2,groundnut
44.39,58.12,46.15,6.04,37.7,31.4,189,448.4,27.2,61.2,kharif,0,sandy,4,sesame
46.01,77.26,74.39,6.39,53.2,26.8,215,672.8,25.8,67.6,kharif,0,red,1,soybean
158.03,86.38,134.72,6.63,78.1,28.5,352,1088.8,33.2,81.3,rabi,1,alluvial,2,sugarcane
30.68,64.29,54.93,6.48,41.7,26.9,392,453.8,22.3,37.0,rabi,1,red,1,moong_rabi
25.8,63.28,44.04,6.81,41.3,27.8,576,906.9,29.3,82.2,kharif,0,black_cotton,0,soybean
24.06,77.84,45.46,7.33,39.5,22.1,315,308.1,24.2,56.1,rabi,1,red,1,chickpea
117.0,95.61,134.4,6.11,47.6,19.0,189,506.9,18.8,70.4,kharif,0,alluvial,2,tomato
29.71,91.4,69.09,6.54,59.0,23.6,182,741.9,25.4,76.7,kharif,0,black_cotton,0,soybean
21.33,51.14,48.43,7.24,37.8,17.5,134,383.4,15.8,54.3,rabi,1,red,1,chickpea
133.47,84.36,91.77,7.38,46.2,18.6,340,519.2,21.6,44.4,rabi,1,red,1,rabi_maize
114.16,69.38,84.39,6.87,47.5,16.9,387,309.6,13.3,62.4,zaid,2,red,1,onion
185.64,94.96,121.01,7.25,58.0,22.9,329,1292.6,36.1,71.4,rabi,1,black_cotton,0,sugarcane
76.0,62.6,40.58,7.27,35.5,23.3,304,605.3,24.3,64.7,kharif,0,alluvial,2,jowar_kharif
