soil_type,ph,nitrogen_n,phosphorus_p,potassium_k,ec,moisture,soil_temperature,ph_class,n_class,p_class,k_class,ec_class,moisture_class,overall_health
laterite,5.42,172.5,104.5,74.8,636,48.7,24.0,strongly_acidic,high,high,medium,normal,optimal,good
sandy,6.24,199.5,80.2,47.1,1765,24.1,29.6,slightly_acidic,very_high,high,low,very_high_salinity,dry,fair
alluvial,7.4,102.6,135.3,97.3,1298,36.8,30.6,neutral,medium,very_high,medium,high_salinity,dry,good
alluvial,6.1,71.6,26.3,149.1,2092,52.4,24.3,slightly_acidic,low,very_low,high,very_high_salinity,optimal,poor
alluvial,6.72,210.3,17.7,131.3,244,31.0,40.9,neutral,very_high,very_low,high,low,dry,fair
alluvial,7.12,132.4,75.9,95.8,1048,78.9,13.3,neutral,high,medium,medium,high_salinity,moist,good
laterite,8.12,164.8,68.8,201.8,2243,39.7,37.8,slightly_alkaline,high,medium,very_high,very_high_salinity,dry,fair
laterite,7.25,82.0,135.6,70.6,768,51.0,24.1,neutral,medium,very_high,medium,normal,optimal,good
sandy,4.59,27.6,49.6,213.9,1670,58.8,37.5,strongly_acidic,very_low,low,very_high,very_high_salinity,optimal,very_poor
alluvial,6.1,41.3,99.3,35.9,196,56.9,21.0,slightly_acidic,low,high,very_low,very_low,optimal,poor
black_cotton,8.47,200.6,109.3,34.4,877,67.7,25.1,slightly_alkaline,very_high,high,very_low,high_salinity,moist,fair
black_cotton,6.79,132.3,32.1,142.2,166,89.0,25.5,neutral,high,low,high,very_low,waterlogged,good
sandy,8.99,272.6,17.3,17.5,947,47.1,23.0,strongly_alkaline,very_high,very_low,very_low,high_salinity,optimal,very_poor
black_cotton,8.42,155.4,75.0,130.6,2194,7.8,31.2,slightly_alkaline,high,medium,high,very_high_salinity,very_dry,good
sandy,8.79,217.2,29.2,125.4,595,36.6,19.7,strongly_alkaline,very_high,very_low,high,normal,dry,fair
sandy,6.91,159.0,54.4,101.8,1674,90.1,13.7,neutral,high,low,medium,very_high_salinity,waterlogged,fair
laterite,6.52,118.2,60.4,104.4,975,16.0,25.9,neutral,medium,medium,medium,high_salinity,very_dry,good
alluvial,8.13,154.7,47.2,61.6,2357,37.9,20.1,slightly_alkaline,high,low,low,very_high_salinity,dry,fair
black_cotton,4.7,290.5,80.2,171.3,1533,81.4,23.5,strongly_acidic,very_high,high,very_high,very_high_salinity,waterlogged,poor
black_cotton,8.77,220.3,96.1,96.6,1536,69.4,17.9,strongly_alkaline,very_high,high,medium,very_high_salinity,moist,fair
alluvial,5.56,230.4,20.8,76.7,1519,49.7,40.4,slightly_acidic,very_high,very_low,medium,very_high_salinity,optimal,poor
laterite,8.77,49.8,9.0,12.7,491,92.6,40.8,strongly_alkaline,low,very_low,very_low,normal,waterlogged,poor
laterite,5.65,143.1,17.3,65.2,2354,82.4,13.1,slightly_acidic,high,very_low,low,very_high_salinity,waterlogged,poor
laterite,4.67,278.1,67.3,193.1,334,19.7,27.9,strongly_acidic,very_high,medium,very_high,low,very_dry,fair
alluvial,7.9,277.4,20.5,154.4,2409,51.9,10.5,slightly_alkaline,very_high,very_low,high,very_high_salinity,optimal,fair
alluvial,5.71,70.7,39.2,78.1,1652,55.0,38.9,slightly_acidic,low,low,medium,very_high_salinity,optimal,poor
laterite,8.37,60.0,113.9,12.0,1790,76.2,32.5,slightly_alkaline,low,very_high,very_low,very_high_salinity,moist,poor
laterite,5.45,121.8,21.7,71.5,339,35.6,19.9,strongly_acidic,high,very_low,medium,low,dry,fair
sandy,6.59,77.8,41.7,89.8,390,74.8,13.7,neutral,low,low,medium,low,moist,fair
sandy,4.62,95.9,19.8,64.1,392,66.4,26.9,strongly_acidic,medium,very_low,low,low,moist,poor
laterite,8.15,214.4,86.5,117.2,1944,43.9,22.2,slightly_alkaline,very_high,high,high,very_high_salinity,optimal,good
laterite,8.91,63.9,10.0,49.3,2261,14.9,27.6,strongly_alkaline,low,very_low,low,very_high_salinity,very_dry,very_poor
sandy,8.44,241.1,53.3,201.8,1463,72.4,14.9,slightly_alkaline,very_high,low,very_high,high_salinity,moist,fair
alluvial,6.54,45.7,14.0,18.6,82,74.9,35.4,neutral,low,very_low,very_low,very_low,moist,poor
alluvial,6.27,48.0,75.8,163.1,1180,6.5,37.3,slightly_acidic,low,medium,very_high,high_salinity,very_dry,fair
laterite,6.32,111.3,100.0,150.9,2484,15.8,19.9,slightly_acidic,medium,high,high,very_high_salinity,very_dry,good
sandy,7.28,33.6,45.6,67.8,1144,44.2,36.8,neutral,very_low,low,low,high_salinity,optimal,poor
alluvial,4.84,13.1,62.9,193.8,782,7.6,32.1,strongly_acidic,very_low,medium,very_high,normal,very_dry,fair
alluvial,6.11,293.4,131.3,139.4,127,50.1,13.9,slightly_acidic,very_high,very_high,high,very_low,optimal,fair
alluvial,8.4,280.8,128.8,18.2,1876,73.5,22.1,slightly_alkaline,very_high,very_high,very_low,very_high_salinity,moist,poor
alluvial,5.57,194.0,80.0,39.5,612,40.2,40.3,slightly_acidic,very_high,high,very_low,normal,optimal,fair
black_cotton,6.44,199.9,131.8,85.4,1921,12.4,42.0,slightly_acidic,very_high,very_high,medium,very_high_salinity,very_dry,fair
sandy,7.79,72.6,73.7,66.5,104,40.3,24.7,slightly_alkaline,low,medium,low,very_low,optimal,fair
sandy,6.04,225.7,107.6,166.7,1503,42.9,31.9,slightly_acidic,very_high,high,very_high,very_high_salinity,optimal,fair
sandy,6.41,61.2,85.9,185.9,2367,13.4,25.1,slightly_acidic,low,high,very_high,very_high_salinity,very_dry,fair
red,6.02,85.6,68.0,174.6,885,16.8,27.6,slightly_acidic,medium,medium,very_high,high_salinity,very_dry,fair
alluvial,7.23,270.2,26.4,33.7,1000,41.3,11.3,neutral,very_high,very_low,very_low,high_salinity,optimal,poor
sandy,6.98,249.8,113.9,113.1,1825,17.2,34.1,neutral,very_high,very_high,high,very_high_salinity,very_dry,fair
red,7.16,257.2,22.5,218.3,373,19.0,10.5,neutral,very_high,very_low,very_high,low,very_dry,fair
alluvial,5.38,233.0,57.5,143.0,2337,64.2,34.2,strongly_acidic,very_high,medium,high,very_high_salinity,moist,fair
laterite,8.43,157.7,71.3,28.7,1456,19.4,18.8,slightly_alkaline,high,medium,very_low,high_salinity,very_dry,fair
black_cotton,4.94,173.0,28.4,207.5,372,32.6,13.0,strongly_acidic,high,very_low,very_high,low,dry,poor
laterite,8.65,161.4,35.8,19.9,1240,58.3,18.2,strongly_alkaline,high,low,very_low,high_salinity,optimal,poor
laterite,8.73,98.9,99.4,146.2,1709,45.9,24.1,strongly_alkaline,medium,high,high,very_high_salinity,optimal,fair
black_cotton,5.15,18.2,19.3,10.6,1204,13.2,24.5,strongly_acidic,very_low,very_low,very_low,high_salinity,very_dry,very_poor
sandy,8.94,93.0,64.4,98.1,341,87.0,33.9,strongly_alkaline,medium,medium,medium,low,waterlogged,fair
red,5.27,284.6,79.8,118.5,600,12.3,15.1,strongly_acidic,very_high,medium,high,normal,very_dry,good
alluvial,5.4,101.6,86.4,16.7,168,38.1,41.0,strongly_acidic,medium,high,very_low,very_low,dry,poor
black_cotton,7.57,251.1,81.6,54.9,1941,8.1,32.1,slightly_alkaline,very_high,high,low,very_high_salinity,very_dry,fair
laterite,8.05,244.6,49.5,84.8,2283,10.0,29.9,slightly_alkaline,very_high,low,medium,very_high_salinity,very_dry,fair
black_cotton,4.71,166.8,52.8,16.7,1260,93.1,30.5,strongly_acidic,high,low,very_low,high_salinity,waterlogged,poor
red,4.97,218.6,14.0,60.3,2472,55.4,14.8,strongly_acidic,very_high,very_low,low,very_high_salinity,optimal,very_poor
black_cotton,8.33,117.3,103.6,26.3,578,10.6,37.3,slightly_alkaline,medium,high,very_low,normal,very_dry,good
red,8.47,277.7,77.9,83.1,1520,40.9,41.7,slightly_alkaline,very_high,medium,medium,very_high_salinity,optimal,fair
laterite,7.55,263.5,77.3,122.8,510,38.9,19.8,slightly_alkaline,very_high,medium,high,normal,dry,good
red,7.09,100.3,42.6,101.8,1256,52.2,39.4,neutral,medium,low,medium,high_salinity,optimal,fair
black_cotton,4.94,189.7,75.6,55.0,677,43.5,30.4,strongly_acidic,very_high,medium,low,normal,optimal,fair
sandy,4.89,53.4,29.2,189.0,126,78.1,20.7,strongly_acidic,low,very_low,very_high,very_low,moist,very_poor
laterite,8.73,130.3,49.7,138.3,2261,76.4,24.5,strongly_alkaline,high,low,high,very_high_salinity,moist,fair
laterite,8.28,6.6,137.2,77.4,1483,88.4,30.1,slightly_alkaline,very_low,very_high,medium,high_salinity,waterlogged,fair
sandy,7.82,268.0,109.0,114.5,648,62.4,36.7,slightly_alkaline,very_high,high,high,normal,moist,excellent
black_cotton,5.4,287.8,113.4,153.4,1992,50.7,37.6,strongly_acidic,very_high,very_high,high,very_high_salinity,optimal,poor
red,5.14,298.5,66.5,21.9,1397,42.6,15.9,strongly_acidic,very_high,medium,very_low,high_salinity,optimal,poor
sandy,8.74,217.9,21.5,211.8,2104,90.3,22.3,strongly_alkaline,very_high,very_low,very_high,very_high_salinity,waterlogged,poor
sandy,5.14,282.9,48.3,161.6,2285,44.3,32.0,strongly_acidic,very_high,low,very_high,very_high_salinity,optimal,poor
laterite,4.82,267.6,16.3,153.1,1979,92.5,19.0,strongly_acidic,very_high,very_low,high,very_high_salinity,waterlogged,poor
sandy,7.54,284.4,48.9,27.2,652,50.8,16.6,slightly_alkaline,very_high,low,very_low,normal,optimal,fair
black_cotton,8.69,223.2,108.5,96.5,1599,86.5,24.3,strongly_alkaline,very_high,high,medium,very_high_salinity,waterlogged,fair
laterite,4.93,267.1,50.5,169.5,776,30.3,30.8,strongly_acidic,very_high,low,very_high,normal,dry,fair
red,5.16,130.3,108.0,90.0,1718,49.9,27.2,strongly_acidic,high,high,medium,very_high_salinity,optimal,fair
red,6.91,249.6,86.3,23.1,885,60.4,31.1,neutral,very_high,high,very_low,high_salinity,moist,fair
black_cotton,8.59,59.5,66.7,55.6,407,68.2,38.1,strongly_alkaline,low,medium,low,normal,moist,fair
black_cotton,7.7,90.7,120.5,78.0,625,59.3,15.9,slightly_alkaline,medium,very_high,medium,normal,optimal,good
black_cotton,6.3,262.4,91.4,213.7,490,27.4,29.4,slightly_acidic,very_high,high,very_high,normal,dry,good
red,5.09,21.6,26.5,90.4,1667,63.2,38.5,strongly_acidic,very_low,very_low,medium,very_high_salinity,moist,very_poor
sandy,5.63,274.6,92.5,29.4,1695,31.2,34.1,slightly_acidic,very_high,high,very_low,very_high_salinity,dry,poor
black_cotton,7.92,33.1,64.5,193.3,103,22.5,22.0,slightly_alkaline,very_low,medium,very_high,very_low,dry,fair
alluvial,6.42,200.2,130.5,14.3,1310,90.4,40.6,slightly_acidic,very_high,very_high,very_low,high_salinity,waterlogged,poor
sandy,7.23,224.9,121.6,105.2,154,74.8,37.1,neutral,very_high,very_high,medium,very_low,moist,fair
laterite,6.85,265.8,26.3,49.8,152,10.4,16.4,neutral,very_high,very_low,low,very_low,very_dry,poor
laterite,6.54,183.4,9.4,31.8,2168,18.0,12.3,neutral,very_high,very_low,very_low,very_high_salinity,very_dry,poor
alluvial,7.41,266.1,88.4,132.7,1775,12.9,16.9,neutral,very_high,high,high,very_high_salinity,very_dry,good
black_cotton,5.31,161.0,40.8,100.2,2086,79.7,29.3,strongly_acidic,high,low,medium,very_high_salinity,moist,poor
sandy,4.94,272.3,16.2,19.4,2331,91.5,33.1,strongly_acidic,very_high,very_low,very_low,very_high_salinity,waterlogged,very_poor
laterite,7.87,268.0,41.5,65.8,2125,45.9,22.8,slightly_alkaline,very_high,low,low,very_high_salinity,optimal,poor
sandy,6.32,288.5,127.5,64.7,2261,11.9,16.4,slightly_acidic,very_high,very_high,low,very_high_salinity,very_dry,poor
alluvial,6.14,172.1,16.8,145.1,850,68.4,18.9,slightly_acidic,high,very_low,high,high_salinity,moist,fair
alluvial,6.4,54.2,65.4,27.8,1555,45.1,29.7,slightly_acidic,low,medium,very_low,very_high_salinity,optimal,poor
alluvial,8.14,5.9,83.4,11.9,1308,41.1,22.2,slightly_alkaline,very_low,high,very_low,high_salinity,optimal,poor
black_cotton,4.55,214.2,43.2,85.1,2353,80.6,19.0,strongly_acidic,very_high,low,medium,very_high_salinity,waterlogged,poor
red,8.97,40.6,79.2,31.8,1777,19.7,21.9,strongly_alkaline,low,medium,very_low,very_high_salinity,very_dry,poor
alluvial,5.64,123.6,21.3,158.1,1400,37.3,31.0,slightly_acidic,high,very_low,high,high_salinity,dry,fair
sandy,5.98,287.5,103.2,123.9,1238,76.1,34.3,slightly_acidic,very_high,high,high,high_salinity,moist,good
sandy,7.01,249.2,97.5,82.4,746,87.0,11.1,neutral,very_high,high,medium,normal,waterlogged,excellent
red,5.26,248.5,89.1,101.1,386,92.9,24.6,strongly_acidic,very_high,high,medium,low,waterlogged,fair
laterite,4.89,168.3,19.3,35.3,1844,57.7,26.0,strongly_acidic,high,very_low,very_low,very_high_salinity,optimal,very_poor
black_cotton,6.94,222.1,105.5,135.9,1336,76.3,25.4,neutral,very_high,high,high,high_salinity,moist,good
black_cotton,5.2,231.7,42.4,198.2,1079,89.7,12.2,strongly_acidic,very_high,low,very_high,high_salinity,waterlogged,poor
red,6.35,70.0,29.2,72.4,1700,35.0,39.6,slightly_acidic,low,very_low,medium,very_high_salinity,dry,poor
alluvial,6.77,152.3,45.1,95.0,757,58.3,39.5,neutral,high,low,medium,normal,optimal,good
red,6.93,14.7,46.9,210.7,2331,47.7,10.5,neutral,very_low,low,very_high,very_high_salinity,optimal,poor
red,8.56,99.5,42.5,195.4,336,21.2,12.0,strongly_alkaline,medium,low,very_high,low,dry,fair
sandy,6.19,165.0,138.1,5.2,2295,26.6,30.5,slightly_acidic,high,very_high,very_low,very_high_salinity,dry,poor
black_cotton,7.66,226.5,61.8,151.0,869,12.6,18.0,slightly_alkaline,very_high,medium,high,high_salinity,very_dry,good
red,6.78,250.2,61.4,89.3,402,77.8,36.4,neutral,very_high,medium,medium,normal,moist,good
black_cotton,6.24,184.6,136.3,158.2,2077,63.6,18.9,slightly_acidic,very_high,very_high,high,very_high_salinity,moist,fair
black_cotton,7.54,294.3,48.0,134.1,363,20.2,17.2,slightly_alkaline,very_high,low,high,low,dry,fair
laterite,6.0,242.2,106.1,216.4,191,13.1,21.4,slightly_acidic,very_high,high,very_high,very_low,very_dry,fair
alluvial,8.44,292.7,12.0,183.7,640,52.7,35.5,slightly_alkaline,very_high,very_low,very_high,normal,optimal,fair
laterite,5.21,245.5,47.1,59.2,477,92.8,22.9,strongly_acidic,very_high,low,low,normal,waterlogged,poor
alluvial,4.83,137.0,90.3,183.0,312,82.0,16.5,strongly_acidic,high,high,very_high,low,waterlogged,fair
sandy,5.14,240.5,132.8,77.5,1569,84.3,41.7,strongly_acidic,very_high,very_high,medium,very_high_salinity,waterlogged,poor
alluvial,7.06,272.3,23.0,51.4,1067,71.0,11.0,neutral,very_high,very_low,low,high_salinity,moist,poor
red,7.53,60.4,44.8,184.9,2141,51.3,37.5,slightly_alkaline,low,low,very_high,very_high_salinity,optimal,poor
sandy,5.27,258.3,21.1,37.5,1918,84.4,33.5,strongly_acidic,very_high,very_low,very_low,very_high_salinity,waterlogged,very_poor
alluvial,5.83,121.5,116.0,88.4,369,31.3,13.5,slightly_acidic,high,very_high,medium,low,dry,good
alluvial,8.19,15.9,136.8,148.9,701,6.8,11.8,slightly_alkaline,very_low,very_high,high,normal,very_dry,good
black_cotton,6.97,148.4,102.2,211.9,793,55.2,24.9,neutral,high,high,very_high,normal,optimal,excellent
black_cotton,6.82,181.9,117.7,204.0,1881,8.1,41.3,neutral,very_high,very_high,very_high,very_high_salinity,very_dry,fair
alluvial,4.57,36.4,18.8,39.9,1760,50.1,39.6,strongly_acidic,very_low,very_low,very_low,very_high_salinity,optimal,very_poor
sandy,5.21,34.3,41.8,41.4,1824,93.0,30.3,strongly_acidic,very_low,low,low,very_high_salinity,waterlogged,very_poor
red,8.76,102.7,8.8,28.1,153,82.1,35.5,strongly_alkaline,medium,very_low,very_low,very_low,waterlogged,poor
sandy,8.83,106.4,24.7,68.6,1280,10.3,16.0,strongly_alkaline,medium,very_low,low,high_salinity,very_dry,poor
sandy,8.16,198.4,78.9,206.1,1192,31.9,16.7,slightly_alkaline,very_high,medium,very_high,high_salinity,dry,fair
alluvial,5.87,20.5,11.7,152.3,1298,71.5,36.8,slightly_acidic,very_low,very_low,high,high_salinity,moist,poor
black_cotton,5.67,262.2,41.6,107.8,251,66.2,30.7,slightly_acidic,very_high,low,medium,low,moist,fair
sandy,5.14,29.8,83.6,120.2,715,36.5,22.5,strongly_acidic,very_low,high,high,normal,dry,fair
sandy,6.66,94.1,30.6,16.2,1519,26.2,23.3,neutral,medium,low,very_low,very_high_salinity,dry,poor
red,7.53,149.3,65.4,179.8,132,8.0,17.0,slightly_alkaline,high,medium,very_high,very_low,very_dry,good
black_cotton,7.0,236.3,64.2,185.7,2330,23.6,33.3,neutral,very_high,medium,very_high,very_high_salinity,dry,fair
laterite,7.82,77.0,26.3,54.4,1671,91.2,18.3,slightly_alkaline,low,very_low,low,very_high_salinity,waterlogged,poor
red,8.29,112.5,5.9,105.9,1800,68.5,32.3,slightly_alkaline,medium,very_low,medium,very_high_salinity,moist,fair
black_cotton,7.51,212.3,135.7,181.0,586,10.4,32.9,slightly_alkaline,very_high,very_high,very_high,normal,very_dry,good
sandy,7.82,185.4,88.1,39.2,736,48.9,19.1,slightly_alkaline,very_high,high,very_low,normal,optimal,good
red,7.93,268.2,132.6,81.9,2226,30.2,39.9,slightly_alkaline,very_high,very_high,medium,very_high_salinity,dry,fair
red,6.09,254.4,27.2,121.6,172,5.7,34.7,slightly_acidic,very_high,very_low,high,very_low,very_dry,fair
laterite,7.86,53.5,64.6,115.2,1882,92.7,18.4,slightly_alkaline,low,medium,high,very_high_salinity,waterlogged,fair
black_cotton,4.58,211.7,29.4,26.7,668,65.0,37.7,strongly_acidic,very_high,very_low,very_low,normal,moist,poor
sandy,7.88,205.3,26.3,71.8,1650,35.5,34.8,slightly_alkaline,very_high,very_low,medium,very_high_salinity,dry,poor
laterite,7.9,46.5,32.2,209.8,1061,57.0,30.6,slightly_alkaline,low,low,very_high,high_salinity,optimal,poor
alluvial,8.84,114.1,78.3,178.0,1348,90.1,19.5,strongly_alkaline,medium,medium,very_high,high_salinity,waterlogged,fair
laterite,6.38,137.2,24.0,96.3,587,38.4,27.3,slightly_acidic,high,very_low,medium,normal,dry,good
alluvial,5.5,49.7,115.4,12.9,856,65.4,20.2,slightly_acidic,low,very_high,very_low,high_salinity,moist,poor
alluvial,4.53,85.6,52.2,132.9,1047,69.5,12.9,strongly_acidic,medium,low,high,high_salinity,moist,fair
red,5.8,296.9,17.4,82.8,148,57.2,17.2,slightly_acidic,very_high,very_low,medium,very_low,optimal,poor
black_cotton,4.65,172.9,22.5,17.8,297,80.5,27.6,strongly_acidic,high,very_low,very_low,low,waterlogged,poor
black_cotton,6.82,238.4,90.4,201.7,711,26.6,29.5,neutral,very_high,high,very_high,normal,dry,good
alluvial,6.6,77.4,63.5,148.6,1926,71.3,18.8,neutral,low,medium,high,very_high_salinity,moist,fair
laterite,7.29,102.9,39.8,129.8,1428,90.8,30.5,neutral,medium,low,high,high_salinity,waterlogged,good
black_cotton,8.21,102.5,137.8,59.6,175,53.5,25.8,slightly_alkaline,medium,very_high,low,very_low,optimal,fair
red,7.95,289.5,27.1,126.1,1576,67.3,16.9,slightly_alkaline,very_high,very_low,high,very_high_salinity,moist,fair
alluvial,8.43,43.2,21.2,205.1,400,57.3,31.7,slightly_alkaline,low,very_low,very_high,normal,optimal,fair
laterite,6.29,111.8,106.4,152.1,2142,45.7,13.1,slightly_acidic,medium,high,high,very_high_salinity,optimal,good
red,8.24,172.9,63.8,140.4,145,41.1,37.3,slightly_alkaline,high,medium,high,very_low,optimal,good
sandy,6.42,127.6,121.8,33.7,826,30.3,23.6,slightly_acidic,high,very_high,very_low,high_salinity,dry,fair
alluvial,8.31,275.0,8.0,91.4,338,46.5,27.3,slightly_alkaline,very_high,very_low,medium,low,optimal,fair
alluvial,5.38,42.5,92.4,124.1,913,13.9,29.0,strongly_acidic,low,high,high,high_salinity,very_dry,fair
alluvial,7.03,144.0,101.8,14.2,894,39.2,36.6,neutral,high,high,very_low,high_salinity,dry,good
red,5.96,289.5,74.0,44.6,2266,15.4,33.8,slightly_acidic,very_high,medium,low,very_high_salinity,very_dry,poor
laterite,6.68,62.9,84.2,61.6,1293,77.0,18.5,neutral,low,high,low,high_salinity,moist,fair
alluvial,6.23,237.5,34.1,86.1,2172,74.4,41.7,slightly_acidic,very_high,low,medium,very_high_salinity,moist,poor
sandy,6.57,43.7,124.3,216.6,1917,17.6,22.2,neutral,low,very_high,very_high,very_high_salinity,very_dry,fair
red,7.02,253.5,62.2,10.5,145,42.4,38.5,neutral,very_high,medium,very_low,very_low,optimal,fair
laterite,4.7,133.0,50.6,212.9,1876,65.9,33.2,strongly_acidic,high,low,very_high,very_high_salinity,moist,poor
black_cotton,8.62,270.2,78.7,39.1,1799,21.0,13.9,strongly_alkaline,very_high,medium,very_low,very_high_salinity,dry,poor
black_cotton,8.72,183.8,128.7,137.2,2352,19.2,15.4,strongly_alkaline,very_high,very_high,high,very_high_salinity,very_dry,fair
sandy,5.11,76.4,12.0,74.1,1912,61.0,20.6,strongly_acidic,low,very_low,medium,very_high_salinity,moist,very_poor
sandy,5.28,31.4,136.4,143.3,812,40.3,11.3,strongly_acidic,very_low,very_high,high,high_salinity,optimal,poor
sandy,5.73,199.5,52.5,197.5,780,77.9,22.4,slightly_acidic,very_high,low,very_high,normal,moist,fair
alluvial,7.81,245.4,105.6,98.7,1505,18.2,21.6,slightly_alkaline,very_high,high,medium,very_high_salinity,very_dry,fair
red,5.14,174.2,103.2,86.1,1728,43.9,39.7,strongly_acidic,high,high,medium,very_high_salinity,optimal,fair
red,7.57,15.7,113.0,151.8,2227,38.0,19.2,slightly_alkaline,very_low,very_high,high,very_high_salinity,dry,fair
sandy,8.26,171.8,94.2,11.5,1501,6.9,17.8,slightly_alkaline,high,high,very_low,very_high_salinity,very_dry,fair
sandy,5.46,214.1,68.4,39.9,2017,37.6,18.5,strongly_acidic,very_high,medium,very_low,very_high_salinity,dry,poor
black_cotton,6.81,242.0,93.1,21.7,1191,59.5,17.8,neutral,very_high,high,very_low,high_salinity,optimal,fair
black_cotton,6.28,182.7,8.8,117.0,527,29.4,21.6,slightly_acidic,very_high,very_low,high,normal,dry,fair
sandy,7.96,240.9,59.6,186.7,1431,38.0,38.9,slightly_alkaline,very_high,medium,very_high,high_salinity,dry,fair
laterite,5.38,47.6,118.2,137.0,1750,22.5,17.1,strongly_acidic,low,very_high,high,very_high_salinity,dry,poor
laterite,4.9,77.4,7.8,97.1,908,89.3,33.6,strongly_acidic,low,very_low,medium,high_salinity,waterlogged,poor
sandy,7.25,233.9,48.3,79.9,2303,7.5,11.2,neutral,very_high,low,medium,very_high_salinity,very_dry,fair
laterite,8.23,100.8,52.0,156.3,1148,8.6,27.3,slightly_alkaline,medium,low,high,high_salinity,very_dry,fair
sandy,8.6,247.8,56.5,26.9,1573,17.3,11.1,strongly_alkaline,very_high,medium,very_low,very_high_salinity,very_dry,poor
sandy,8.16,154.4,22.0,191.8,1506,60.7,19.9,slightly_alkaline,high,very_low,very_high,very_high_salinity,moist,fair
alluvial,5.1,253.8,103.4,28.8,1397,30.3,32.7,strongly_acidic,very_high,high,very_low,high_salinity,dry,poor
alluvial,7.45,171.7,25.3,191.6,259,34.1,13.6,neutral,high,very_low,very_high,low,dry,fair
black_cotton,7.75,49.3,40.0,191.6,1847,9.0,39.9,slightly_alkaline,low,low,very_high,very_high_salinity,very_dry,poor
laterite,7.33,31.6,80.6,185.4,1879,54.1,10.4,neutral,very_low,high,very_high,very_high_salinity,optimal,fair
laterite,7.2,204.6,91.0,146.2,2437,20.7,24.3,neutral,very_high,high,high,very_high_salinity,dry,good
black_cotton,5.3,230.5,139.9,134.9,1130,81.1,11.2,strongly_acidic,very_high,very_high,high,high_salinity,waterlogged,fair
black_cotton,4.56,7.1,54.2,90.9,1804,26.2,17.5,strongly_acidic,very_low,low,medium,very_high_salinity,dry,very_poor
