crop,growth_stage,soil_type,nitrogen_n,phosphorus_p,potassium_k,n_status,p_status,k_status,moisture,soil_temperature,land_area_acres,fertilizer_name,dose_kg_per_acre,total_dose_kg,application_timing,notes
bajra,pre_sowing,sandy,259.2,49.5,198.5,high,medium,high,70.4,25.2,3.7,DAP,20.0,74.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal P
urad,pre_sowing,red,161.4,27.1,39.4,high,low,low,42.9,13.5,6.8,SSP + MOP,27.0,183.6,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal P+K
sesame,pre_sowing,laterite,121.8,36.4,195.2,high,low,high,70.2,25.7,2.4,DAP,21.6,51.8,"Apply 7 days before sowing, mix into topsoil 10-15cm",Light feeder
turmeric,pre_sowing,laterite,148.6,68.7,173.1,high,medium,high,37.2,17.3,4.0,DAP + MOP,20.0,80.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",High K demand
tur_arhar,flowering,black_cotton,29.8,106.2,119.3,low,high,high,43.0,27.3,0.9,MOP,5.0,4.5,Apply at flower bud initiation; avoid leaf contact,Pod setting
sugarcane,harvest,red,204.2,90.4,199.1,high,high,high,27.0,28.6,9.7,MOP,10.0,97.0,Do not apply; withholding period required,Juice quality
linseed,vegetative,black_cotton,42.6,109.9,141.7,medium,high,high,60.5,35.6,8.2,Urea,12.0,98.4,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
grapes,grain_fill,black_cotton,226.2,97.7,196.8,high,high,high,43.2,32.5,7.5,MOP,10.0,75.0,Foliar spray or side dress during grain/fruit development,Maturity
chilli,grain_fill,red,202.3,115.9,61.4,high,high,medium,24.8,13.5,9.7,MOP,12.0,116.4,Foliar spray or side dress during grain/fruit development,Pungency development
banana,flowering,sandy,14.1,29.8,103.6,low,low,high,50.2,29.7,5.3,Urea + MOP,29.2,154.8,Apply at flower bud initiation; avoid leaf contact,Bunch initiation
linseed,vegetative,laterite,258.9,92.1,101.7,high,high,high,52.8,29.5,2.2,Urea,7.2,15.8,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
safflower,pre_sowing,red,99.9,93.9,76.5,high,high,medium,43.6,18.0,9.5,DAP + MOP,15.0,142.5,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
bajra,vegetative,red,149.9,66.5,125.4,high,medium,high,40.5,17.4,4.3,Urea,10.8,46.4,Top dress at 20-30 DAS; broadcast and irrigate,N top dress 3 weeks after sowing
turmeric,grain_fill,black_cotton,139.6,91.5,141.8,high,high,high,20.5,32.0,9.2,MOP,10.0,92.0,Foliar spray or side dress during grain/fruit development,Curcumin synthesis
moong_rabi,flowering,black_cotton,189.9,119.5,175.5,high,high,high,43.3,27.7,3.5,MOP,4.0,14.0,Apply at flower bud initiation; avoid leaf contact,Pod fill
turmeric,grain_fill,laterite,28.4,28.8,31.4,low,low,low,55.8,28.0,6.7,MOP,25.0,167.5,Foliar spray or side dress during grain/fruit development,Curcumin synthesis
urad,pre_sowing,black_cotton,43.1,104.9,25.4,medium,high,low,30.7,36.6,5.7,SSP + MOP,13.5,77.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal P+K
sunflower_kharif,vegetative,laterite,172.5,42.3,46.2,high,low,low,26.6,35.7,9.8,Urea,10.8,105.8,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
safflower,vegetative,alluvial,40.6,26.9,83.4,medium,low,medium,36.6,12.2,2.8,Urea,15.0,42.0,Top dress at 20-30 DAS; broadcast and irrigate,Rosette stage
safflower,pre_sowing,black_cotton,150.0,108.8,101.3,high,high,high,62.4,19.5,5.4,DAP + MOP,7.5,40.5,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
maize_kharif,pre_sowing,sandy,145.7,115.8,179.2,high,high,high,45.6,12.8,2.6,DAP + MOP,10.5,27.3,"Apply 7 days before sowing, mix into topsoil 10-15cm",Full P+K; half N basal
jowar_kharif,vegetative,black_cotton,32.7,73.7,69.5,low,medium,medium,77.7,20.2,3.3,Urea,26.0,85.8,Top dress at 20-30 DAS; broadcast and irrigate,Top dress after 3-4 weeks
cotton,flowering,red,192.1,115.5,171.4,high,high,high,29.6,34.4,2.1,Urea,15.0,31.5,Apply at flower bud initiation; avoid leaf contact,Boll development
tur_arhar,flowering,black_cotton,213.4,67.5,44.1,high,medium,low,35.2,16.8,9.2,MOP,12.5,115.0,Apply at flower bud initiation; avoid leaf contact,Pod setting
rice,vegetative,alluvial,179.5,77.1,71.9,high,medium,medium,35.2,27.9,1.0,Urea,13.2,13.2,Top dress at 20-30 DAS; broadcast and irrigate,25-30 DAS tillering
soybean,pre_sowing,alluvial,69.7,112.1,166.7,medium,high,high,31.4,35.1,1.1,SSP + MOP,7.5,8.2,"Apply 7 days before sowing, mix into topsoil 10-15cm","Basal: 0 N, 50 P2O5, 40 K2O kg/ha via SSP+MOP"
cotton,grain_fill,sandy,34.1,62.7,96.9,low,medium,medium,29.1,21.7,7.2,MOP,15.0,108.0,Foliar spray or side dress during grain/fruit development,Fibre quality
watermelon,vegetative,black_cotton,215.2,107.9,163.9,high,high,high,60.9,31.8,1.5,Urea,9.0,13.5,Top dress at 20-30 DAS; broadcast and irrigate,Vine growth
cotton,pre_sowing,sandy,96.7,22.6,91.1,high,low,medium,42.2,14.7,7.8,DAP + MOP,48.0,374.4,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal: 25N 25P 25K
grapes,grain_fill,red,114.6,24.6,91.0,high,low,medium,33.6,25.0,8.2,MOP,20.0,164.0,Foliar spray or side dress during grain/fruit development,Maturity
linseed,pre_sowing,black_cotton,109.2,118.6,63.6,high,high,medium,44.8,27.7,0.9,DAP + MOP,12.0,10.8,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
banana,flowering,red,190.1,41.8,112.8,high,low,high,65.4,21.7,8.1,Urea + MOP,13.5,109.3,Apply at flower bud initiation; avoid leaf contact,Bunch initiation
mustard,vegetative,alluvial,180.2,114.3,198.7,high,high,high,56.0,37.7,6.7,Urea,10.8,72.4,Top dress at 20-30 DAS; broadcast and irrigate,Top dress at 20 DAS
chilli,pre_sowing,laterite,139.5,36.1,159.5,high,low,high,64.6,24.9,5.3,DAP + MOP,21.0,111.3,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
cotton,vegetative,red,226.2,43.9,71.3,high,low,medium,47.5,23.9,9.1,Urea + MOP,21.0,191.1,Top dress at 20-30 DAS; broadcast and irrigate,Square formation
linseed,pre_sowing,black_cotton,127.4,35.0,148.7,high,low,high,38.3,18.8,3.7,DAP + MOP,12.0,44.4,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
jowar_kharif,pre_sowing,laterite,133.3,47.6,92.0,high,medium,medium,52.9,14.0,7.0,DAP,25.0,175.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal P and N
soybean,flowering,black_cotton,106.8,59.2,96.2,high,medium,medium,61.0,24.4,8.5,MOP,10.0,85.0,Apply at flower bud initiation; avoid leaf contact,K boost for pod setting
rice,vegetative,sandy,109.9,74.5,67.1,high,medium,medium,38.5,34.8,2.4,Urea,13.2,31.7,Top dress at 20-30 DAS; broadcast and irrigate,25-30 DAS tillering
rabi_maize,flowering,black_cotton,244.3,69.3,24.8,high,medium,low,31.3,35.1,3.1,Urea,10.8,33.5,Apply at flower bud initiation; avoid leaf contact,Booster
cucumber,pre_sowing,laterite,40.1,89.8,28.9,medium,high,low,59.5,24.9,8.8,DAP + MOP,18.8,165.4,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
moong_kharif,flowering,alluvial,144.9,26.2,180.2,high,low,high,21.4,13.0,2.4,MOP,4.0,9.6,Apply at flower bud initiation; avoid leaf contact,Pod fill
tur_arhar,flowering,alluvial,270.1,106.9,102.3,high,high,high,74.8,12.5,6.7,MOP,5.0,33.5,Apply at flower bud initiation; avoid leaf contact,Pod setting
wheat,vegetative,sandy,123.2,40.3,166.0,high,low,high,76.8,17.7,1.9,Urea,12.0,22.8,Top dress at 20-30 DAS; broadcast and irrigate,Tillering
moong_kharif,germination,black_cotton,85.3,50.3,107.6,medium,medium,high,61.3,37.5,3.5,Rhizobium Biofert,5.0,17.5,Apply at sowing time or within first 7 DAS,Seed treatment
jowar_rabi,flowering,alluvial,178.7,84.2,176.0,high,high,high,22.3,18.5,5.5,Urea,7.2,39.6,Apply at flower bud initiation; avoid leaf contact,Light booster
jowar_rabi,flowering,laterite,269.7,74.8,161.6,high,medium,high,54.1,12.1,4.0,Urea,7.2,28.8,Apply at flower bud initiation; avoid leaf contact,Light booster
groundnut,germination,red,207.3,46.8,121.2,high,medium,high,74.3,20.5,7.7,Rhizobium Biofert,5.0,38.5,Apply at sowing time or within first 7 DAS,Seed inoculation
rice,vegetative,red,236.8,35.9,199.1,high,low,high,47.0,23.8,6.1,Urea,13.2,80.5,Top dress at 20-30 DAS; broadcast and irrigate,25-30 DAS tillering
wheat,vegetative,sandy,205.0,54.5,159.7,high,medium,high,51.2,23.6,7.0,Urea,12.0,84.0,Top dress at 20-30 DAS; broadcast and irrigate,Tillering
onion,vegetative,sandy,76.3,30.0,198.1,medium,low,high,23.3,27.5,0.9,Urea,20.0,18.0,Top dress at 20-30 DAS; broadcast and irrigate,Leaf development
sesame,vegetative,red,48.5,21.2,109.8,medium,low,high,26.2,22.6,7.1,Urea,12.0,85.2,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
linseed,vegetative,laterite,213.3,69.8,124.8,high,medium,high,72.6,14.2,7.6,Urea,7.2,54.7,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
moong_rabi,germination,black_cotton,27.2,50.9,183.8,low,medium,high,62.9,19.7,8.5,Rhizobium Biofert,5.0,42.5,Apply at sowing time or within first 7 DAS,Seed treatment
linseed,vegetative,sandy,215.3,45.3,28.6,high,medium,low,78.8,33.9,3.3,Urea,7.2,23.8,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
safflower,vegetative,black_cotton,121.7,93.4,102.7,high,high,high,45.7,15.3,9.2,Urea,9.0,82.8,Top dress at 20-30 DAS; broadcast and irrigate,Rosette stage
bajra,flowering,sandy,111.0,90.7,115.8,high,high,high,37.2,37.9,4.1,Urea,6.0,24.6,Apply at flower bud initiation; avoid leaf contact,Booster dose
sugarcane,vegetative,sandy,189.4,97.1,162.0,high,high,high,24.1,37.0,7.3,Urea + MOP,15.0,109.5,Top dress at 20-30 DAS; broadcast and irrigate,Grand growth period
groundnut,flowering,alluvial,181.6,59.2,137.7,high,medium,high,32.2,29.9,5.1,Gypsum,25.0,127.5,Apply at flower bud initiation; avoid leaf contact,Peg development
urad,germination,laterite,163.7,111.5,90.8,high,high,medium,43.0,22.7,5.4,Rhizobium Biofert,5.0,27.0,Apply at sowing time or within first 7 DAS,Seed inoculation
cucumber,flowering,laterite,198.4,68.2,21.2,high,medium,low,73.2,14.4,4.3,MOP,15.0,64.5,Apply at flower bud initiation; avoid leaf contact,Fruit quality
tomato,pre_sowing,sandy,43.8,109.4,164.3,medium,high,high,33.9,37.8,4.8,DAP + MOP,12.0,57.6,"Apply 7 days before sowing, mix into topsoil 10-15cm",Full P+K; half N
urad,flowering,red,235.7,112.1,193.3,high,high,high,69.1,37.4,9.8,MOP,4.0,39.2,Apply at flower bud initiation; avoid leaf contact,Pod development
safflower,vegetative,alluvial,33.2,30.0,138.9,low,low,high,45.0,22.5,5.9,Urea,19.5,115.1,Top dress at 20-30 DAS; broadcast and irrigate,Rosette stage
pomegranate,grain_fill,black_cotton,185.3,31.8,189.3,high,low,high,31.2,19.9,4.3,MOP + Calcium,12.5,53.8,Foliar spray or side dress during grain/fruit development,Fruit development
sunflower_kharif,pre_sowing,laterite,187.3,84.2,133.0,high,high,high,65.4,17.0,5.7,DAP + MOP,9.0,51.3,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
rice,grain_fill,sandy,102.9,34.7,161.0,high,low,high,33.7,37.2,8.7,MOP,6.0,52.2,Foliar spray or side dress during grain/fruit development,Grain filling stage
onion,grain_fill,alluvial,74.5,40.7,126.2,medium,low,high,77.3,29.5,2.9,MOP,7.5,21.8,Foliar spray or side dress during grain/fruit development,Bulb development
watermelon,flowering,red,237.6,44.0,83.1,high,low,medium,56.3,21.9,0.7,19:19:19 NPK,7.2,5.0,Apply at flower bud initiation; avoid leaf contact,Fruit set
sesame,pre_sowing,sandy,209.1,36.0,158.4,high,low,high,23.1,15.9,9.3,DAP,21.6,200.9,"Apply 7 days before sowing, mix into topsoil 10-15cm",Light feeder
sesame,pre_sowing,sandy,124.6,35.5,167.7,high,low,high,47.4,32.3,7.8,DAP,21.6,168.5,"Apply 7 days before sowing, mix into topsoil 10-15cm",Light feeder
sunflower_kharif,flowering,red,67.7,51.1,73.9,medium,medium,medium,28.3,14.1,4.3,Boron Spray,5.0,21.5,Apply at flower bud initiation; avoid leaf contact,Prevent hollow stem
linseed,pre_sowing,black_cotton,143.4,53.6,152.1,high,medium,high,54.2,25.9,3.6,DAP + MOP,10.0,36.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
rabi_maize,pre_sowing,laterite,119.0,40.4,59.5,high,low,medium,40.9,27.8,6.6,DAP + MOP,42.0,277.2,"Apply 7 days before sowing, mix into topsoil 10-15cm",Same as kharif maize
rabi_maize,flowering,laterite,201.4,31.3,165.3,high,low,high,53.9,14.3,7.0,Urea,10.8,75.6,Apply at flower bud initiation; avoid leaf contact,Booster
linseed,pre_sowing,black_cotton,218.2,20.1,57.3,high,low,medium,37.1,34.8,6.2,DAP + MOP,24.0,148.8,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
orange,grain_fill,red,264.0,104.2,98.3,high,high,medium,67.0,18.5,7.5,MOP + Micronutrient,20.0,150.0,Foliar spray or side dress during grain/fruit development,Fruit color + quality
linseed,pre_sowing,laterite,63.7,75.5,166.8,medium,medium,high,24.3,13.8,3.3,DAP + MOP,10.0,33.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
jowar_rabi,flowering,laterite,35.0,86.9,88.6,low,high,medium,61.7,28.9,3.2,Urea,15.6,49.9,Apply at flower bud initiation; avoid leaf contact,Light booster
mustard,pre_sowing,sandy,46.0,102.5,131.6,medium,high,high,32.5,21.5,0.6,DAP + MOP,7.5,4.5,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal; sulfur from SSP
orange,pre_sowing,black_cotton,156.5,39.4,53.0,high,low,medium,21.7,25.3,7.4,DAP + MOP,42.0,310.8,"Apply 7 days before sowing, mix into topsoil 10-15cm",Post-harvest dose
sugarcane,grain_fill,red,52.4,51.0,165.3,medium,medium,high,75.6,25.0,8.1,Urea,30.0,243.0,Foliar spray or side dress during grain/fruit development,Elongation stage
rice,germination,alluvial,246.7,87.0,137.8,high,high,high,32.8,20.6,4.9,Urea,10.8,52.9,Apply at sowing time or within first 7 DAS,7-10 DAS
pomegranate,grain_fill,red,59.8,83.4,197.7,medium,high,high,70.2,23.5,8.3,MOP + Calcium,12.5,103.8,Foliar spray or side dress during grain/fruit development,Fruit development
rice,flowering,red,178.9,98.3,54.3,high,high,medium,39.8,27.5,9.5,Urea + MOP,12.0,114.0,Apply at flower bud initiation; avoid leaf contact,Panicle initiation
moong_rabi,germination,red,170.8,109.8,142.7,high,high,high,64.8,23.2,5.8,Rhizobium Biofert,5.0,29.0,Apply at sowing time or within first 7 DAS,Seed treatment
jowar_rabi,pre_sowing,sandy,152.1,45.3,26.1,high,medium,low,74.3,36.5,9.5,DAP + MOP,37.5,356.2,"Apply 7 days before sowing, mix into topsoil 10-15cm",Full P and K basal
chickpea,pre_sowing,sandy,231.9,113.6,58.4,high,high,medium,72.5,35.8,9.6,SSP + MOP,12.0,115.2,"Apply 7 days before sowing, mix into topsoil 10-15cm",Low N; P and K basal
cotton,flowering,sandy,255.1,61.1,170.5,high,medium,high,52.6,27.8,8.3,Urea,15.0,124.5,Apply at flower bud initiation; avoid leaf contact,Boll development
moong_rabi,flowering,red,164.9,55.2,52.6,high,medium,medium,71.0,22.2,2.5,MOP,8.0,20.0,Apply at flower bud initiation; avoid leaf contact,Pod fill
orange,grain_fill,laterite,111.6,102.7,117.5,high,high,high,47.4,32.3,8.9,MOP + Micronutrient,10.0,89.0,Foliar spray or side dress during grain/fruit development,Fruit color + quality
urad,germination,sandy,119.8,47.4,162.2,high,medium,high,42.9,35.8,7.7,Rhizobium Biofert,5.0,38.5,Apply at sowing time or within first 7 DAS,Seed inoculation
sunflower_kharif,vegetative,sandy,133.4,28.2,60.4,high,low,medium,48.4,26.1,6.0,Urea,10.8,64.8,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
rice,pre_sowing,alluvial,27.5,63.2,173.6,low,medium,high,42.0,30.1,1.5,DAP,30.0,45.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
orange,grain_fill,alluvial,87.7,76.2,125.1,medium,medium,high,76.4,17.1,5.2,MOP + Micronutrient,10.0,52.0,Foliar spray or side dress during grain/fruit development,Fruit color + quality
sesame,pre_sowing,black_cotton,37.3,23.8,78.7,low,low,medium,37.9,32.0,5.6,DAP,21.6,121.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Light feeder
moong_rabi,flowering,alluvial,264.0,117.2,119.1,high,high,high,54.8,28.5,6.8,MOP,4.0,27.2,Apply at flower bud initiation; avoid leaf contact,Pod fill
tur_arhar,flowering,red,23.7,89.8,22.2,low,high,low,34.4,18.9,6.7,MOP,12.5,83.8,Apply at flower bud initiation; avoid leaf contact,Pod setting
urad,germination,laterite,224.1,96.4,194.1,high,high,high,58.6,37.9,2.4,Rhizobium Biofert,5.0,12.0,Apply at sowing time or within first 7 DAS,Seed inoculation
moong_kharif,flowering,laterite,21.2,84.7,49.9,low,high,low,66.2,28.5,2.0,MOP,10.0,20.0,Apply at flower bud initiation; avoid leaf contact,Pod fill
chilli,vegetative,alluvial,260.8,70.8,191.0,high,medium,high,43.4,33.3,9.3,Urea,10.8,100.4,Top dress at 20-30 DAS; broadcast and irrigate,Plant establishment
bajra,flowering,sandy,134.0,82.0,30.1,high,high,low,60.2,29.6,2.7,Urea,6.0,16.2,Apply at flower bud initiation; avoid leaf contact,Booster dose
soybean,vegetative,sandy,127.4,66.2,86.7,high,medium,medium,69.4,19.5,6.1,Urea,7.2,43.9,Top dress at 20-30 DAS; broadcast and irrigate,Top dress if N deficiency observed
onion,harvest,laterite,203.2,28.4,90.2,high,low,medium,63.5,12.9,6.9,NO FERTILIZER,0.0,0.0,Do not apply; withholding period required,Stop 3 weeks before harvest
watermelon,vegetative,red,20.8,67.5,168.3,low,medium,high,23.4,25.0,9.6,Urea,19.5,187.2,Top dress at 20-30 DAS; broadcast and irrigate,Vine growth
onion,grain_fill,alluvial,110.6,80.6,129.8,high,high,high,73.8,34.4,4.2,MOP,7.5,31.5,Foliar spray or side dress during grain/fruit development,Bulb development
rice,grain_fill,sandy,206.2,112.7,151.9,high,high,high,63.7,13.6,5.6,MOP,6.0,33.6,Foliar spray or side dress during grain/fruit development,Grain filling stage
sunflower_kharif,pre_sowing,alluvial,157.8,50.6,46.2,high,medium,low,49.3,35.3,8.0,DAP + MOP,37.5,300.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
maize_kharif,flowering,black_cotton,173.8,72.4,94.1,high,medium,medium,65.3,23.8,0.8,Urea,12.0,9.6,Apply at flower bud initiation; avoid leaf contact,Tasselling stage
jowar_rabi,vegetative,laterite,12.5,112.5,129.4,low,high,high,80.0,20.7,2.9,Urea,26.0,75.4,Top dress at 20-30 DAS; broadcast and irrigate,Split N top dress
sunflower_rabi,flowering,laterite,201.7,61.7,170.4,high,medium,high,68.5,31.8,3.0,Boron Spray,5.0,15.0,Apply at flower bud initiation; avoid leaf contact,Pollination support
tur_arhar,flowering,alluvial,169.1,78.4,23.7,high,medium,low,76.9,15.5,2.9,MOP,12.5,36.2,Apply at flower bud initiation; avoid leaf contact,Pod setting
safflower,vegetative,black_cotton,254.1,49.5,98.9,high,medium,medium,28.8,35.7,6.2,Urea,9.0,55.8,Top dress at 20-30 DAS; broadcast and irrigate,Rosette stage
turmeric,grain_fill,sandy,262.2,95.7,20.4,high,high,low,51.5,17.0,8.3,MOP,25.0,207.5,Foliar spray or side dress during grain/fruit development,Curcumin synthesis
maize_kharif,vegetative,black_cotton,186.1,66.6,152.5,high,medium,high,33.9,30.6,8.1,Urea,15.0,121.5,Top dress at 20-30 DAS; broadcast and irrigate,Knee high stage N
grapes,vegetative,black_cotton,202.0,74.4,184.9,high,medium,high,66.2,22.1,3.7,Urea,12.0,44.4,Top dress at 20-30 DAS; broadcast and irrigate,Shoot growth
banana,vegetative,alluvial,77.7,105.3,81.2,medium,high,medium,58.5,31.0,9.7,Urea + MOP,50.0,485.0,Top dress at 20-30 DAS; broadcast and irrigate,Sword sucker stage
rabi_maize,vegetative,sandy,110.8,46.0,76.0,high,medium,medium,63.0,24.8,6.5,Urea,15.0,97.5,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
bajra,flowering,black_cotton,227.8,110.6,86.3,high,high,medium,62.5,34.5,2.7,Urea,6.0,16.2,Apply at flower bud initiation; avoid leaf contact,Booster dose
urad,germination,laterite,29.6,28.4,195.4,low,low,high,54.6,16.1,9.0,Rhizobium Biofert,5.0,45.0,Apply at sowing time or within first 7 DAS,Seed inoculation
urad,flowering,laterite,247.7,46.8,143.2,high,medium,high,33.0,22.2,3.3,MOP,4.0,13.2,Apply at flower bud initiation; avoid leaf contact,Pod development
soybean,grain_fill,alluvial,101.6,114.5,71.0,high,high,medium,41.7,35.9,2.1,Micronutrient Mix,5.0,10.5,Foliar spray or side dress during grain/fruit development,Zinc + Boron foliar spray
linseed,vegetative,red,239.3,61.9,87.4,high,medium,medium,37.5,18.1,9.2,Urea,7.2,66.2,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
jowar_rabi,flowering,black_cotton,201.0,119.5,117.2,high,high,high,56.2,26.4,1.2,Urea,7.2,8.6,Apply at flower bud initiation; avoid leaf contact,Light booster
sunflower_kharif,pre_sowing,red,137.9,78.2,194.4,high,medium,high,62.9,17.1,5.8,DAP + MOP,15.0,87.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
sugarcane,pre_sowing,sandy,80.9,62.1,173.3,medium,medium,high,31.3,33.4,4.4,DAP + MOP,25.0,110.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Heavy feeder; high basal
soybean,germination,alluvial,156.0,112.4,47.9,high,high,low,39.8,13.6,3.6,Rhizobium Biofert,5.0,18.0,Apply at sowing time or within first 7 DAS,Seed treatment reduces N requirement
